qns_id,qns_content,options,language,answer,solution,stream,subject_code,subject_id,class_code,topic,subtopic,question_type,difficulty_level
2713420,"""<div style=\""text-align:justify\"">The major product of the following reaction is<\/div>\n\n<div style=\""text-align:center\""><img src=\""1668233859336638918phpsypGIbimage.png\"" style=\""height:89px; width:250px\"" \/><\/div>\n""","[""<div style=\""text-align:justify\""><img src=\""1668233888729809312phpA5qzdnimage.png\"" style=\""height:99px; width:110px\"" \/><\/div>\n"",""<div style=\""text-align:justify\""><img src=\""16682339001326225057phpi3KofRimage.png\"" style=\""height:73px; width:150px\"" \/><\/div>\n"",""<div style=\""text-align:justify\""><img src=\""1668233910962483310phpo3rZ7jimage.png\"" style=\""height:56px; width:150px\"" \/><\/div>\n"",""<div style=\""text-align:justify\""><br \/>\n<img src=\""16682339241356816017phpiwC9pNimage.png\"" style=\""height:59px; width:180px\"" \/><\/div>\n""]",1,[2],"""<div style=\""text-align:justify\"">Example of E<sub>2<\/sub> elimination and conjugated diene is formed with phenyl ring in conjugation which makes it very stable.<\/div>\n""",IIT,OC,6,12,Halogen Derivative,"Elimination reactions e1,e2 & e1cb & pyrolysis",Single Correct,EASY
806111,"""<div style=\""text-align:justify\"">\u090f\u0915 \u0938\u094b\u0928\u094b\u092e\u0940\u091f\u0930 \u0924\u093e\u0930 \u0924\u0943\u0924\u0940\u092f \u0905\u0927\u093f\u0938\u094d\u0935\u0930\u0915 \u092e\u0947\u0902 \u0915\u092e\u094d\u092a\u0928\u094d\u0928 \u0915\u0930\u0924\u093e \u0939\u0948\u0964 \u092f\u0926\u093f \u0938\u0947\u0924\u0941\u0913\u0902 \u0915\u0947 \u092e\u0927\u094d\u092f \u0926\u0942\u0930\u0940 40 cm \u0939\u094b, \u0924\u093e\u0930 \u092e\u0947\u0902 \u0924\u0928\u093e\u0935 90N \u0939\u094b \u090f\u0935\u0902 \u0924\u093e\u0930 \u0915\u093e \u092a\u094d\u0930\u0924\u093f \u0932\u092e\u094d\u092c\u093e\u0908 \u0915\u093e \u0926\u094d\u0930\u0935\u094d\u092f\u092e\u093e\u0928 100gm\/m \u0939\u094b \u0924\u094b \u0906\u0935\u0943\u0924\u094d\u0924\u093f \u0939\u094b\u0917\u0940 :-<\/div>\n""","[""<div style=\""text-align:justify\"">150 Hz<\/div>\n"",""<div style=\""text-align:justify\"">112.5 Hz<\/div>\n"",""<div style=\""text-align:justify\"">37.5 Hz<\/div>\n"",""<div style=\""text-align:justify\"">75 Hz<\/div>\n""]",2,[0],"""<div style=\""text-align:justify\"">f = <img alt=\""\\frac{4}{{2 \\times 0.4}} \\times \\sqrt {\\frac{{90}}{{0.1}}} \"" src=\""15657585551191073978.png\"" \/>&nbsp;=&nbsp;<img alt=\""\\frac{{2 \\times 5}}{2} \\times 30 = 150Hz\"" src=\""1565758563589247901.png\"" \/><\/div>\n""",IIT,PH,2,11,Wave on string,Standing,Single Correct,EASY
1921048,"""<div style=\""text-align:justify\"">100 amu He \u092e\u0947\u0902 \u0915\u093f\u0924\u0928\u0947 \u092a\u0930\u092e\u093e\u0923\u0941 \u0909\u092a\u0938\u094d\u0925\u093f\u0924 \u0939\u0948\u0902?&nbsp;<\/div>\n""",[],2,25,"""<div style=\""text-align:justify\"">We know that, 1 amu =&nbsp;<img alt=\""\\frac{1}{{12}}\"" src=\""1631084829488484637.png\"" \/> &nbsp;&times; weight of one <sup>12<\/sup>C atom&nbsp;<br \/>\nor weight of one <sup>12<\/sup>C atom = 12 amu (at. wt. of C = 12 amu).<br \/>\nSimilarly, as the atomic weight of He is 4 amu,<br \/>\nweight of one He atom = 4 amu.<br \/>\nThus, the number of atoms in 100 amu of He = <img alt=\""\\frac{{100}}{4}\"" src=\""1631084888340675678.png\"" \/>&nbsp;= 25.<\/div>\n""",IIT,PC,5,11,Mole Concept,Miscellaneous/Mixed,Integer Type Multiple Digit,EASY
2680451,"""<div style=\""text-align:justify\"">One mol of an ideal monoatomic gas is filled in a container and it is subjected to following changes<\/div>\n<div style=\""text-align:center\""><img src=\""1666246725724591875phpMFSuunimage.png\"" style=\""width:200px\"" \/><\/div>\n<div>The (approx) work involved in cyclic process A&ndash;B&ndash;C&ndash;A is (use ln2 = 0.7 and R = 8.3&nbsp;&nbsp;JK<sup>&ndash;1<\/sup>mol<sup>&ndash;1<\/sup>)<\/div>\n""","[""<div style=\""text-align:justify\"">&ndash;696<\/div>\n"",""<div style=\""text-align:justify\"">&ndash;996 J<\/div>\n"",""<div style=\""text-align:justify\"">696 J<\/div>\n"",""<div style=\""text-align:justify\"">996 J&nbsp;<\/div>\n""]",1,[1],"""W<sub>CA<\/sub>&nbsp;= 0&nbsp; &nbsp;[Isochoric]<br \/>\nW<sub>AB<\/sub>&nbsp;= &ndash;nRT \u2113n&nbsp;<img alt=\""\\frac{{20}}{{10}}\"" src=\""16680801981605930245.png\"" \/>&nbsp; [Isotherm]<br \/>\nW<sub>BC<\/sub>&nbsp;= &ndash;nR&Delta;T&nbsp; [Isobar]""",IIT,PC,5,12,Thermodynamics - I,Work,Single Correct,MEDIUM
3006640,"""<div style=\""text-align:justify\"">Find the highest ratio of IP values of given pair of elements :<\/div>\n""","[""<div style=\""text-align:justify\"">He : Ne<\/div>\n"",""<div style=\""text-align:justify\"">Ne : Ar<\/div>\n"",""<div style=\""text-align:justify\"">He : Xe<\/div>\n"",""<div style=\""text-align:justify\"">Kr : Xe<\/div>\n""]",1,[2],"""""",JEE MAIN,IC,4,11,PERIODIC TABLE,Ionisation Energy,Single Correct,MEDIUM
4218,"""  What is the specific gravity of a liquid if 260 mL of the liquid has the same mass as 390 mL of water ?<br><br>""","[""0.66 <br>"",""0.5 <br>"",""1.5 <br>"",""1.8""]",1,[2],"""<img src=\""ported_hmage023951736901.png\""  style=\""vertical-align: middle\"" alt=\""Image not present\"" >""",IIT,PC,5,11,Mole Concept,Miscellaneous/Mixed,Single Correct,EASY
3242866,"""<div style=\""text-align:justify\"">The sum of all values of x so that&nbsp;<img alt=\""{81^{{x^2} + 3x - 1}} = {27^{{x^2} + 3x + 2}}\"" src=\""1688104762600804107.png\"" \/>&nbsp;is :-<\/div>\n""",[],1,-3.00,"""""",IIT,MT,3,11,Basic maths,Number System,Integer Decimal,EASY
3005122,"""<div style=\""text-align:justify\"">A string of length \u2113 is fixed at both ends. It is vibrating in its 3<sup>rd<\/sup> overtone with maximum amplitude <img alt=\""a = 2\\sqrt 3 \"" src=\""1607420295207370244.png\"" \/>&nbsp;mm. Find the square of amplitude (in mm) at a distance <img alt=\""\\frac{\\ell }{3}\"" src=\""1607420322418568272.png\"" \/>&nbsp;from one end.<\/div>\n""",[],1,3,"""<div style=\""text-align:justify\"">We have taken x = 0 as antinode so that&nbsp;<br \/>\nAmplitude = (A<sub>max<\/sub> sinkx)<br \/>\n<img alt=\""K = \\frac{{2\\pi }}{\\ell }\"" src=\""16074202431156225735.png\"" \/>&nbsp;where&nbsp;<img alt=\""\\lambda \u00a0= \\frac{\\ell }{2}\"" src=\""16074202491671830905.png\"" \/><br \/>\n<img alt=\"" \\Rightarrow A = {A_{\\max }}\\sin \\left[ {\\frac{{2\\pi }}{{\\frac{\\ell }{2}}} \\times \\frac{\\ell }{3}} \\right]\"" src=\""16074202581388732922.png\"" \/><br \/>\n<img alt=\"" = A\\sin \\frac{{4\\pi }}{3} = \\frac{{\\sqrt 3 {A_{\\max }}}}{2}\"" src=\""16074202621774901215.png\"" \/><\/div>\n""",IIT,PH,2,11,Wave on string,Standing,Integer Type Single Digit,EASY
3193819,"""<div style=\""text-align:justify\"">Sum of number of protons, electrons and neutrons in 12g of <img alt=\""_6^{12}C\"" src=\""1687003193496231429.png\"" \/>&nbsp;is :-<\/div>\n""","[""<div style=\""text-align:justify\"">1.8<\/div>\n"",""<div style=\""text-align:justify\"">12.044 &times;10<sup>23<\/sup><\/div>\n"",""<div style=\""text-align:justify\"">1.084 &times; 10<sup>25<\/sup><\/div>\n"",""<div style=\""text-align:justify\"">10.84 &times; 10<sup>24<\/sup><\/div>\n""]",1,[3],"""<div style=\""text-align:justify\"">moles of C = <img alt=\""\\frac{{12}}{{12}}\"" src=\""1686999201918192116.png\"" \/>&nbsp;= 1 mole<br \/>\nNumber of protons&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; = 6 &times; N<sub>A<\/sub><br \/>\nNumber of electrons&nbsp;&nbsp;&nbsp;&nbsp; = 6 &times;&nbsp;N<sub>A<\/sub><br \/>\nNumber of neutrons&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; = 6 &times;&nbsp;N<sub>A<\/sub><br \/>\n&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;= 18&nbsp;N<sub>A<\/sub><br \/>\n&rArr;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 18 &times; 6.022 &times; 10<sup>23 <\/sup>= 108.4 &times; 10<sup>23<\/sup>&nbsp;= 10.84 &times; 10<sup>24<\/sup><\/div>\n""",IIT,PC,5,11,Mole Concept,Calculation of mole,Single Correct,EASY
2703014,"""<div style=\""text-align:justify\"">Two parallel large thin metal sheets have equal surface charge densities (&sigma; = 26.4 &times; 10<sup>&ndash;12<\/sup> C\/m<sup>2<\/sup>) of opposite signs. The electric field between these sheets is :<\/div>\n""","[""<div style=\""text-align:justify\"">1.5 N\/C<\/div>\n"",""<div style=\""text-align:justify\"">1.5 &times; 10<sup>&ndash;10<\/sup> N\/C<\/div>\n"",""<div style=\""text-align:justify\"">3 N\/C<\/div>\n"",""<div style=\""text-align:justify\"">3 &times; 10<sup>&ndash;10<\/sup> N\/C<\/div>\n""]",1,[2],"""The electric field between two parallel large plates is<br \/>\n&nbsp;<img alt=\""E = \\frac{\\sigma }{{{\\varepsilon _0}}} = \\frac{{26.4 \\times {{10}^{ - 12}}}}{{8.85 \\times {{10}^{ - 12}}}}\"" src=\""16967479691033060097.png\"" \/>&nbsp;<img alt=\"" = 2.98 \\sim 3N\/C\"" src=\""1696747983663234615.png\"" \/>""",IIT,PH,2,12,Current Electricity,Miscellaneous,Single Correct,EASY
2590627,"""<div style=\""text-align:justify\"">A person rolls a small ball with speed u along the floor from point A. If x = 3R, determine the required speed u so that the ball returns to a after rolling on the circular surface in the vertical plane from B to C value of x for which the game could be played if contact must be maintained to point C? Neglect friction.<\/div>\n<div style=\""text-align:center\""><img src=\""166161252981582289php0UEPSeimage.png\"" style=\""width:200px\"" \/><\/div>\n""",[],1,2,"""<div style=\""text-align:justify\""><img alt=\""x = y\\sqrt {\\frac{{2.2R}}{g}} \"" src=\""1661612552195649311.png\"" \/><br \/>\n<img alt=\""v = x\\sqrt {\\frac{g}{{4r}}} \"" src=\""16616125601366566776.png\"" \/><br \/>\n<img alt=\""\\frac{2}{2}m{u^2} = mg.2R + \\frac{1}{2}m{v^2}\"" src=\""16616125671566884911.png\"" \/><br \/>\n<img alt=\""\\frac{1}{2}m{u^2} = mg.2R + \\frac{1}{2}m\\frac{{{{\\left( {3R} \\right)}^2}g}}{{4R}}\"" src=\""16616125732011198693.png\"" \/><br \/>\n<img alt=\""\\frac{1}{2}{u^2} = 2gR + \\frac{{9Rg}}{{8R}}\"" src=\""16616125791560671544.png\"" \/><br \/>\n<img alt=\""u = \\frac{5}{2}\\sqrt {gR} \"" src=\""1661612588650836241.png\"" \/><br \/>\nFor X<sub>min<\/sub> v should be min<br \/>\n<img alt=\""\\therefore {U_{\\min }} = \\sqrt {5gR} \"" src=\""16616126031507928339.png\"" \/><br \/>\n<img alt=\""v = \\sqrt {gR} \"" src=\""166161260977391239.png\"" \/><br \/>\n<img alt=\""x = \\sqrt {gR} .\\sqrt {\\frac{{2.2R}}{2}} \u00a0= 2R\"" src=\""16616126151907711049.png\"" \/><\/div>\n""",JEE MAIN,PH,2,12,W.E.P.,Conservative force & potential energy,Integer Type Multiple Digit,MEDIUM
